algorithm,workload,l_max,total_energy_kwh,total_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,cpu_usage_pct,l4_usage_pct,h100_usage_pct,peak_cpu_temp,peak_l4_temp,peak_h100_temp
EPLB,Sinusoidal,100,38.983652380030186,86516206.90693307,1001.3449873487624,11.70932803468261,11.211986098615661,18.800000000000004,18.800000000000004,0.0,94.11139872787678,5.888601272123197,0,0,75.15366520660848
EPLB,Spiky,100,44.32990048355859,62578652.151843466,724.2899554611512,7.709360650359171,4.0,18.800000000000004,18.800000000000004,0.6488079275284,81.34914596292192,18.002046109549664,0,0,58.128929578604776
RoundRobin,Sinusoidal,100,86.21304782190653,86597184.47606814,1002.2822277322701,25.812322360687006,4.0,95.0,95.0,25.0,37.49999999999996,37.49999999999996,0,0,51.65210082863179
RoundRobin,Spiky,100,79.95109362172221,66429056.9593517,768.8548259184225,31.31788329224696,4.0,144.27978411381756,149.93109469605074,25.0,37.499999999999986,37.499999999999986,0,0,45.69429886063173
LeastConnections,Sinusoidal,100,86.53237023256892,86157707.72570737,997.1956912697611,25.809727431558862,4.0,95.0,95.0,24.99669170654238,37.48446056843101,37.5188477250264,0,0,53.47233669096343
LeastConnections,Spiky,100,77.55431956222415,62750598.94182563,726.280080345204,30.740688628295427,4.0,143.16020226428375,151.7249669156822,24.9484255247241,37.570813098814746,37.48076137646106,0,0,45.93957375180749
ThermalAware,Sinusoidal,100,160.2398241453967,86437756.13126105,1000.4369922599659,261.8414042241122,446.5000000000001,446.5000000000001,446.5000000000001,74.37927810395684,25.62072189604309,0.0,0,0,40.70876426030954
ThermalAware,Spiky,100,130.24343999262885,66710106.66302654,772.1077160072516,123.29164153196174,95.0,446.5000000000001,446.5000000000001,71.73385870980026,21.18119833232319,7.084942957876573,0,0,65.46420902800355
PathBased,Sinusoidal,100,83.03736991762618,86479201.96933949,1000.9166894599477,26.04170399508904,4.0,95.0,95.0,25.0,44.99999999999986,29.99999999999996,0,0,48.97996288028168
PathBased,Spiky,100,74.85804404690015,62692166.39433947,725.6037777122624,31.61552107753019,4.0,142.95073962543236,150.56710941961316,25.0,44.99999999999999,30.00000000000001,0,0,44.55795364108373
